"Weird Al" Yankovic	„Weird Al“ Yankovic
$	Dalur (gjaldmiðill)
$1	Dalur (gjaldmiðill)
%	Hundraðshluti
%s	Forsíða
's-Gravenhage	Haag
'الرباط	Rabat
()	( )
(Gos)askja	Sigketill
(raf)viðnám	Rafmótstaða
(Ég syng þér sönginn) Mamy Blue	Mjöll Hólm - (Ég syng þér sönginn) Mamy Blue
(Ó)eðli (kvikmynd)	(Ó)eðli
(ó)eðli	(Ó)eðli
* Bastillan í París	Bastillan
*nix	Unix-legt
-ri	Ri-sagnir
...Lifun	Lifun
.NET	.NET-umhverfið
.NET Framework	.NET-umhverfið
0	0 (tölustafur)
0 (tala)	Núll
0,999...	Einn
1	Einn
1 (tala)	Einn
1 Ceres	Seres (dvergreikistjarna)
1 Seres	Seres (dvergreikistjarna)
1 apríll	Fyrsti apríll
1 apríll (kvikmynd)	Fyrsti apríll
1-Chloropannarin	Argopsin
1. 2. 3. flokka kerfi (Bandarísk stjórnmál)	Bandaríska flokkakerfið
1. Bundesligan	Bundesliga
1. Skák Olympiad	Fyrsta ólympíuskákmótið
1. Skák Ólympíad	Fyrsta ólympíuskákmótið
1. apríll	Fyrsti apríll
1. deild karla 2005	1. deild karla í knattspyrnu 2005
1. deild karla 2006	1. deild karla í knattspyrnu 2006
1. deild karla 2007	1. deild karla í knattspyrnu 2007
1. deild karla 2008	1. deild karla í knattspyrnu 2008
1. deild karla í knattspyrnu 1992	2. deild karla í knattspyrnu 1992
1. deild karla í knattspyrnu 1993	2. deild karla í knattspyrnu 1993
1. deild karla í knattspyrnu 1994	2. deild karla í knattspyrnu 1994
1. deild karla í knattspyrnu 1995	2. deild karla í knattspyrnu 1995
1. deild karla í knattspyrnu 1996	2. deild karla í knattspyrnu 1996
1. deild kvenna í knattspyrnu 2018	Inkassodeild kvenna í knattspyrnu 2018
1. persóna	Persónufornafn
1. púnverska stríðið	Fyrsta púnverska stríðið
1. öld	1. öldin
1. öld f.Kr.	1. öldin f.Kr.
1. öld f.o.t.	1. öldin f.Kr.
1.maí (Fyrsti maí)	Fyrsti maí
1.maí (Verkalýðsdagurinn)	Fyrsti maí
10 (tala)	Tugur
10 Downing Street	Downingstræti 10
10. áratugurinn	1991-2000
10. öld	10. öldin
100 (tala)	Hundrað
100 Bullets (video game)	100 Bullets (tölvuleikur)
1000 (tala)	Þúsund
1000 ára afmæli Íslandsbyggðar	Þúsund ára afmæli Íslandsbyggðar
1001 nótt	Þúsund og ein nótt
1001–1010	1001-1010
1004 f.Kr.	1001-1010 f.Kr.
1005 f.Kr.	1001-1010 f.Kr.
1006 f.Kr.	1001-1010 f.Kr.
1007 f.Kr.	1001-1010 f.Kr.
1008 f.Kr.	1001-1010 f.Kr.
1009 f.Kr.	1001-1010 f.Kr.
101 Dalmantians	101 dalmatíuhundur
101 Reykjavík	101 Reykjavík (kvikmynd)
1010 f.Kr.	1001-1010 f.Kr.
1011 f.Kr.	1011-1020 f.Kr.
1011–1020	1011-1020
1012 f.Kr.	1011-1020 f.Kr.
1013 f.Kr.	1011-1020 f.Kr.
1014 f.Kr.	1011-1020 f.Kr.
1015 f.Kr.	1011-1020 f.Kr.
1016 f.Kr.	1011-1020 f.Kr.
1017 f.Kr.	1011-1020 f.Kr.
1018 f.Kr.	1011-1020 f.Kr.
1019 f.Kr.	1011-1020 f.Kr.
102 Dalmatians	102 dalmatíuhundar
102 dalmantians	102 dalmatíuhundar
1020 f.Kr.	1011-1020 f.Kr.
